week,module,status,hours,knowledge,practice,artifact,explanation,artifact_link,reflection
0,"Диагностика, SDLC, Jira и Confluence",not-started,0,0,0,0,0,,
1,"Problem, KPI, Scope, Stakeholders, Elicitation",not-started,0,0,0,0,0,,
2,"Requirements, RTM, Stories, Use Cases, Dev Task",not-started,0,0,0,0,0,,
3,"BPMN AS-IS/TO-BE, SLA, Exceptions, Access",not-started,0,0,0,0,0,,
4,"System Context, C4 и UML Architecture",not-started,0,0,0,0,0,,
5,"ERD, PostgreSQL, SQL Advanced, Data Quality",not-started,0,0,0,0,0,,
6,"REST, JSON/XML, OpenAPI, Postman, OAuth",not-started,0,0,0,0,0,,
7,"Integrations, Mapping, Kafka/RabbitMQ, Reliability",not-started,0,0,0,0,0,,
8,"NFR, Security, Linux/logs, Testing, UAT, Release",not-started,0,0,0,0,0,,
9,"Prototype, Delivery Metrics, Solution Design, Interview",not-started,0,0,0,0,0,,
